2026-07-21 16:46:09,909 | INFO | Logger initialized.
2026-07-21 16:46:09,909 | INFO | Assessment run started.
2026-07-21 16:46:09,911 | INFO | Loaded investors.csv with 50 rows.
2026-07-21 16:46:09,912 | INFO | Loaded funds.csv with 50 rows.
2026-07-21 16:46:09,913 | INFO | Loaded transactions.csv with 50 rows.
2026-07-21 16:46:09,914 | INFO | Loaded nav_history.csv with 50 rows.
2026-07-21 16:46:09,914 | INFO | Starting data cleaning.
2026-07-21 16:46:09,931 | INFO | Data cleaning complete.
2026-07-21 16:46:09,931 | INFO | Merging datasets.
2026-07-21 16:46:09,938 | INFO | Merged dataset exported.
2026-07-21 16:46:09,945 | INFO | NumPy metrics calculated and exported.
2026-07-21 16:46:09,954 | INFO | Holdings built and exported.
2026-07-21 16:46:09,963 | INFO | Investor identification reports exported.
2026-07-21 16:46:09,978 | INFO | Fund analysis completed.
2026-07-21 16:46:09,993 | INFO | Finance metrics calculated and exported.
2026-07-21 16:46:09,993 | INFO | Generating charts.
2026-07-21 16:46:10,532 | INFO | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-07-21 16:46:10,532 | INFO | Using categorical units to plot a list of strings that are all parsable as floats or dates. If these strings should be plotted as numbers, cast to the appropriate data type before plotting.
2026-07-21 16:46:11,183 | INFO | All charts generated.
2026-07-21 16:46:11,186 | INFO | Execution summary exported.
2026-07-21 16:46:11,186 | INFO | Assessment run completed successfully.
2026-07-21 16:48:14,874 | INFO | Logger initialized.
2026-07-21 16:48:14,875 | INFO | Assessment run started.
2026-07-21 16:48:14,877 | INFO | Loaded investors.csv with 50 rows.
2026-07-21 16:48:14,878 | INFO | Loaded funds.csv with 50 rows.
2026-07-21 16:48:14,880 | INFO | Loaded transactions.csv with 50 rows.
2026-07-21 16:48:14,881 | INFO | Loaded nav_history.csv with 50 rows.
2026-07-21 16:48:14,881 | INFO | Starting data cleaning.
2026-07-21 16:48:14,900 | INFO | Data cleaning complete.
2026-07-21 16:48:14,900 | INFO | Merging datasets.
2026-07-21 16:48:14,909 | INFO | Merged dataset exported.
2026-07-21 16:48:14,918 | INFO | NumPy metrics calculated and exported.
2026-07-21 16:48:14,934 | INFO | Holdings built and exported.
2026-07-21 16:48:14,945 | INFO | Investor identification reports exported.
2026-07-21 16:48:14,962 | INFO | Fund analysis completed.
2026-07-21 16:48:14,977 | INFO | Finance metrics calculated and exported.
